Country,Rating_Score,Landlocked,Ratio_BudBal_GDP,Ratio_TradeBal_GDP,Exch_Rate_YOY,Default_Last_5,Default_Last_10,Ratio_ExtDebt_Exports,Inflation_Volatility,GDP_PerCap,Ratio_GovtDebt_GovtRev
Angola,2.04,0,6.807,41.13930958,15.85501751,0,1,36.07658488,0.91628118,5739.899254,87.24853377
Benin,1.54,0,-0.4,-7.507849103,4.890233933,0,0,73.65524213,2.674366991,1580.323538,150.6632577
Botswana,4.81,1,-7.159,-1.402307278,-5.052591564,0,0,33.98444827,2.645575873,13831.80699,61.3124047
Cameroon,1.54,0,-1.143,-0.789736514,4.890233933,0,1,52.51389403,1.96745249,2284.203545,70.27348715
Cape Verde,1.77,0,-10.621,-40.84410349,4.89020133,0,0,131.1741207,2.305030867,3855.606107,266.2339985
Ghana,1.54,0,-7.176,-9.16438229,1.577938671,0,0,88.67262948,4.149236821,1640.892528,276.4047434
Kenya,1.77,0,-5.061,-19.62621828,2.431999173,0,0,94.38394643,4.744570634,1643.92568,203.4554842
Lesotho,2.04,1,-5.042,-51.45960503,-13.60036442,0,0,80.67717017,2.87880404,1594.09063,68.07572697
Mozambique,1.54,0,-3.958,-12.43729564,23.40914955,0,0,138.3767093,4.053607307,913.0934622,134.0907376
"Mauritius, Government of",3.62,0,-3.2,-19.51595635,-3.677745167,0,0,21.70225558,3.490954239,13632.70302,231.6357326
"Namibia, Government of",3.14,0,-4.789,-7.066061151,-13.60036442,0,0,61.81944667,2.481981406,6515.061061,56.6619159
Nigeria,1.77,0,-7.727,15.36636168,0.937529382,0,1,9.91130083,3.412688749,2369.499244,78.36611364
Rwanda,1.54,1,0.447,-14.10367515,2.61314385,0,0,130.7658127,4.688509113,1155.050243,87.34164496
Seychelles,1.54,0,-0.82,-34.94755971,-11.33072249,1,1,152.1929254,18.96248621,24356.13359,235.2225114
Uganda,1.54,1,-4.733,-13.81874746,7.243079257,0,0,84.58003837,3.185592567,1275.445267,156.8007355
South Africa,4.17,0,-4.85,1.055899305,-13.60036442,0,0,45.29906673,2.888554396,10540.24406,129.5553006
Zambia,1.77,1,-3.072,16.69987647,-4.933899578,0,0,47.75409412,2.115376397,1555.085928,132.8411774
Armenia,2.04,1,-4.921,-21.68957422,2.856450756,0,0,315.0800231,2.584487512,5438.860163,159.7982833
Azerbaijan,3.14,1,14.293,38.16472591,-0.140958443,0,0,24.39181055,7.927947591,9891.519383,25.41950133
Bangladesh,2.04,0,-3.073,-5.531422887,0.883846979,0,0,115.2428504,1.552177567,1651.795989,353.6142088
Cambodia,1.54,0,-2.846,-14.63802754,1.101385973,0,0,67.89584952,9.780217625,2184.358556,171.8448306
Fiji,1.54,0,-1.648,-24.64468957,-1.912348968,0,0,26.90643741,1.970480779,4609.893707,221.1783724
Georgia,2.04,0,-4.78,-22.22280461,6.695640201,0,0,227.4738794,3.372800943,5045.330351,139.6138614
India,3.14,0,-9.165,-6.128708658,-5.535550859,0,0,83.11248883,2.598332869,3372.663662,369.835034
Indonesia,2.72,0,-1.213,4.323754292,-12.50705012,0,1,102.4158201,3.511305099,4311.930966,161.9965333
Kazakhstan,3.62,1,1.466,19.36540423,-0.096273145,0,0,180.3274842,4.157847965,12114.90181,45.68947083
Republic of Korea,6.41,0,1.653,3.946713437,-9.465671572,0,0,65.502906,0.955446649,28797.54427,148.4418399
Malaysia,4.81,0,-3.748,17.52358044,-8.608596964,0,0,35.17123213,1.870598113,14665.62942,214.4441575
Mongolia,1.77,1,1.178,-2.888645099,-5.615523717,0,0,72.00264192,8.989263858,4017.979183,105.8625561
Pakistan,1.33,0,-5.902,-6.472550461,4.259914897,0,0,202.3122657,3.992275141,2675.718891,429.3923098
Philippines,2.36,0,-2.249,-5.494235712,-5.390134586,0,0,111.557576,2.047174321,3951.665341,249.308326
Papua New Guinea,1.77,0,2.897,22.41578149,-1.301204295,0,0,96.15324336,3.896492051,2460.932955,84.39457456
Thailand,4.17,0,-0.803,9.93308415,-7.583606041,0,0,31.2681494,2.459712951,8515.86118,191.0428266
Viet Nam,1.77,0,-5.195,-4.958725561,9.06997322,0,0,44.09119415,6.84811282,3190.93959,138.4286842
Argentina,1.54,0,-1.578,3.855840126,5.018449588,0,1,157.35226,1.829655897,15940.55058,132.9750564
Commonwealth of The Bahamas,4.17,0,-4.379,-24.53324675,0,0,0,28.78593744,1.279247435,31225.85563,271.2220106
Belize,1.15,0,-1.501,-12.2401142,0,1,1,126.0141325,2.48005881,6636.670617,305.036791
Bolivia,1.77,1,1.666,6.480060575,-0.047435897,0,0,76.99587959,3.200864055,4827.40993,118.8953716
Brazil,3.62,0,-2.809,0.940156701,-12.01342383,0,0,148.448668,0.789856126,11201.55456,178.9913188
Chile,6.41,0,-0.292,7.336955264,-9.023820561,0,0,105.5280511,2.989791431,16043.91403,37.85293109
Colombia,3.14,0,-3.089,0.779637179,-12.03237793,0,0,139.1727767,1.753713203,9410.927592,140.1834059
Costa Rica,2.72,0,-5.418,-9.497183721,-8.278387128,0,0,63.90624989,3.031736994,11600.9311,213.5027291
Dominican Republic,1.77,0,-2.486,-16.85352342,3.280299654,0,1,111.5265714,3.318303889,9308.342315,211.5803801
Grenada,1.33,0,-3.086,-32.41096939,0,1,1,342.6740883,2.963398691,10804.94838,359.5427239
"Guatemala, Government of",2.72,0,-3.303,-10.36904849,-1.271693157,0,0,132.4427224,3.582757904,4768.598536,215.5960805
Honduras,1.54,0,-2.912,-18.29425946,0,0,1,61.62389814,2.683291393,3905.270047,106.9074618
Jamaica,1.33,0,-6.446,-24.15520308,-0.79413749,1,1,346.2483081,5.594126178,7770.056355,537.2967458
Mexico,3.62,0,-4.301,-0.290159359,-6.493506494,0,0,63.71433744,0.735468762,14563.87822,190.5881209
"Nicaragua, Government of",1.33,0,-0.521,-24.80260962,4.999631259,1,1,128.3083319,6.303847119,2773.981259,244.3082615
Panama,3.14,0,-1.266,-17.13012411,0,0,0,60.86554985,2.621786547,14027.28857,158.3033708
Peru,3.14,0,-0.287,4.387670725,-6.189253896,0,0,91.77604723,1.749277937,9498.614867,124.0861603
Paraguay,1.77,1,1.449,-7.366494356,-4.630653383,0,1,49.40970506,3.273030904,5158.766755,69.03029616
El Salvador,2.36,0,-4.472,-17.02601933,0,0,0,199.3420775,2.755603527,6634.279303,290.4949728
Suriname,1.77,0,-3.65,19.00304625,0.015300546,0,0,21.93076758,5.583794024,7891.405415,83.44332022
Trinidad and Tobago,4.81,0,-3.787,22.68034868,0.800011384,0,0,57.54100932,2.084584323,25713.08346,106.4424766
Uruguay,2.72,0,-1.091,-0.715875875,-11.1161822,0,1,106.9821489,0.742334628,14030.83541,182.4115308
St. Vincent and the Grenadines,1.77,0,-5.816,-37.43896296,0,0,0,142.2110227,4.207204262,10523.4854,249.7343165
Bolivarian Republic of Venezuela,1.77,0,-5.941,9.205557535,20.26362366,0,1,82.20478092,7.104476582,12178.58102,130.1649263
Bahrain,3.62,0,-6.69,11.78935629,0,0,0,219.6834835,0.702083827,23690.25964,131.9121622
Egypt,1.77,0,-7.844,-9.209850548,1.39578505,0,0,71.35578278,4.322625996,6152.572534,292.1462891
Jordan,2.36,0,-5.57,-25.68998374,0,0,0,61.93897679,5.252608942,5826.227414,269.7912442
Lebanon,1.54,0,-7.731,-33.01826312,0,0,0,113.2940481,3.493208668,14005.08168,620.480633
Morocco,3.14,0,-4.369,-16.58788807,4.468853558,0,0,84.31317811,1.324734426,4691.127231,187.3624805
Oman,5.55,0,5.565,32.37117323,0,0,0,29.92256756,3.963740443,27257.15424,14.52434382
Saudi Arabia,7.39,0,6.55,34.0538421,0,0,0,32.87983678,2.803628132,22790.46926,21.37414336
Tunisia,3.14,0,-1.33,-10.3317223,6.008427944,0,0,97.06786262,0.600724729,9443.240229,137.5418413
Turkey,2.36,0,-2.729,-7.683909462,-3.039433276,0,0,188.4933223,1.570210081,15616.43292,129.9967598
Albania,1.77,0,-4.19,-23.18548726,9.43154264,0,0,122.8299092,0.600041665,8650.965393,226.6715956
Bulgaria,3.14,0,-3.945,-7.719634588,5.025982981,0,0,175.9444228,3.870264306,13944.32618,52.07970882
Bosnia and Herzegovina,1.54,0,-4.472,-25.76931428,4.890296827,0,0,134.9629451,3.287991667,8728.434604,86.60311284
Belarus,1.33,0,-1.828,-16.43867369,6.640052989,0,0,86.0221393,3.480113691,13878.63457,99.57427933
Croatia,3.14,0,-4.944,-13.04661867,4.051135987,0,0,264.9766614,1.843984897,19339.21604,112.4236261
Hungary,2.72,0,-4.29,3.321524636,2.768579929,0,0,148.8579619,1.650840846,20545.3542,181.0146137
Lithuania,3.62,0,-7.087,-4.609300161,4.923451005,0,0,119.1302967,3.69910892,18158.0158,109.6583553
Latvia,3.14,0,-7.214,-7.042974931,4.930273959,0,0,309.0305474,6.308374141,16284.09655,111.3276649
"Moldova, Government of",1.33,1,-2.485,-38.18200585,11.33884208,0,1,201.3844851,5.533594203,3100.443955,70.17073425
Macedonia,2.36,1,-2.482,-21.23510151,5.407636177,0,0,137.7783301,3.391322235,11249.21047,83.00787011
Montenegro,2.04,0,-4.867,-40.75424964,4.890233009,0,0,106.3476774,3.151634052,12877.49046,104.2484294
Poland,4.81,0,-7.843,-2.516015365,-3.360105636,0,0,158.9199051,1.194377537,19899.19158,147.310263
Romania,2.72,0,-6.434,-6.112371303,4.216336048,0,0,208.5275228,1.130636679,14531.45904,97.68123083
Russian Federation,3.62,0,-3.509,10.21966126,-4.324142103,0,0,86.33986235,2.75039748,19970.79784,33.96146045
Serbia,2.04,0,-3.57,-16.6836182,15.0165876,0,1,241.3430959,2.638626821,11359.88916,110.3109506
Ukraine,1.54,0,-5.692,-6.081169255,1.853363521,0,0,168.6638712,6.614423747,6684.802847,94.7507306
